image_link,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,image_path
https://images-assets.nasa.gov/image/PIA22082/PIA22082~thumb.jpg,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1589 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet has an unknown spin. The planet's star is white and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1589 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet has an unknown spin. The planet's star is white and 0.10069226078299924 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring. This planet has thick clouds of various coloring blending together across the planet surface. The planet's star is has an unknown spin and white.","A white, large star with a massive, gas-giant planet. The planet is mostly silvery white in color, and has thick clouds of various coloring blending together.",data/image_1.jpg
https://images-assets.nasa.gov/image/PIA20690/PIA20690~thumb.jpg,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1175 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1175 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 0.04762022426542946 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a massive, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",data/image_2.jpg
https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e001417/GSFC_20171208_Archive_e001417~thumb.jpg,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1271 times the size of earth, is so warm it likely does not have clouds and appears as a uniform blue orb and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1271 times the size of earth, is so warm it likely does not have clouds and appears as a uniform blue orb and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 0.09596475904605026 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet is so warm it likely does not have clouds and appears as a uniform blue orb. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a massive, gas-giant planet. The planet a uniform blue in color, has clear, sharp-edge stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",data/image_3.jpg
https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e000132/GSFC_20171208_Archive_e000132~thumb.jpg,"A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 100.0 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_4.jpg
https://images-assets.nasa.gov/image/PIA23408/PIA23408~thumb.jpg,"A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 33.59999895095825 the size of it's planet.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky,terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_5.jpg
https://images-assets.nasa.gov/image/PIA22069/PIA22069~thumb.jpg,"A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 11.389237200174454 the size of it's planet.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This nan super-earth planet has a composition of hydrogen and helium producing a distince white color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a rocky, super-earth planet. The planet is white in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",data/image_6.jpg
https://images-assets.nasa.gov/image/PIA22087/PIA22087~thumb.jpg,"A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 3241 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 1 times the size of the sun.","A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 3241 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 0.03979209464170855 the size of it's planet.","A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This massive gas-giant planet is dominated by silicate and iron clouds most notably variations of red coloring. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow white.","A yellow white, medium star with a massive, gas-giant planet. The planet a shade of red in color, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",data/image_7.jpg
https://images-assets.nasa.gov/image/PIA21473/PIA21473~thumb.jpg,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 0.6960556781376798 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This large gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, tiny star with a large, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_8.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.5502188236680245 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_9.jpg
https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.880734383924462 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a rocky, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun, so the side facing the sun is hot and the other side is dark and cold",data/image_10.jpg
