,image_description,image_link,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_imppar,pl_orbsmax,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_vmag,Notes,planet_category,planet_mass_description,planet_color,planet_color_short,planet_spin,planet_spin_short,stellar_planet_ratio,roche_limit,tidal_locked,stellar_color,stellar_mass_description,mass_prompt,ratio_prompt,size_text_prompt,75_tokens,  
0,"This artist's rendering shows a giant exoplanet causing small bodies to collide in a disk of dust.  A study in The Astronomical Journal finds that giant exoplanets with long-period orbits are more likely to be found around young stars that have a disk of dust and debris than those without disks. The study focused on planets more than five times the mass of Jupiter. The astronomers are conducting the largest survey to date of stars with dusty debris disks, and finding the best evidence yet that giant planets are responsible for keeping that material in check. ",https://images-assets.nasa.gov/image/PIA22082/PIA22082~thumb.jpg,0,0,1,1,0,0,12.9,1589,4.07,1000,0,0,A8 III,7595,1.6,1.6,0.821,7.36,Information taken from exoplanet data of HD 95086 b orbiting the star HD 95086. This planet was selected because it has a mass 5x the size of Jupiter.,gas-giant,massive,"has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring",is mostly silvery white in color,has thick clouds of various coloring blending together across the planet surface,has thick clouds of various coloring blending together,0.100692261,1.629141999,0,white,large,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1589 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet has an unknown spin. The planet's star is white and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1589 times the size of earth, has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring and has thick clouds of various coloring blending together across the planet surface. This planet has an unknown spin. The planet's star is white and 0.10069226078299924 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet has carbon monoxide and alkali metals like sodium and potassium as dominant, which known for their silvery white coloring. This planet has thick clouds of various coloring blending together across the planet surface. The planet's star is has an unknown spin and white.","A white, large star with a massive, gas-giant planet. The planet is mostly silvery white in color, has thick clouds of various coloring blending together, and 0.0",  
1,"K2-33b, shown in this illustration, is one of the youngest exoplanets detected to date using NASA Kepler Space Telescope.  It makes a complete orbit around its star in about five days.  These two characteristics combined provide exciting new directions for planet-formation theories. K2-33b could have formed on a farther out orbit and quickly migrated inward. Alternatively, it could have formed in situ, or in place.",https://images-assets.nasa.gov/image/PIA20690/PIA20690~thumb.jpg,K2-33 b,K2-33,1,1,0,5.424864769,0.0409,1175.971,850,0.16,0.0432,0,M3.3,3540,1.05,0.56,-0.824,15.838,0,gas-giant,massive,"has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue",is pale yellow in color with slight traces of blue,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",0.047620224,0.004024306,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1175 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1175 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 0.04762022426542946 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a massive, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
2,"Glowing a dark magenta, the newly discovered exoplanet GJ 504b weighs in with about four times Jupiter's mass, making it the lowest-mass planet ever directly imaged around a star like the sun. Using infrared data from the Subaru Telescope in Hawaii, an international team of astronomers has imaged a giant planet around the bright star GJ 504. Several times the mass of Jupiter and similar in size, the new world, dubbed GJ 504b, is the lowest-mass planet ever detected around a star like the sun using direct imaging techniques. If we could travel to this giant planet, we would see a world still glowing from the heat of its formation with a color reminiscent of a dark cherry blossom, a dull magenta.",https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e001417/GSFC_20171208_Archive_e001417~thumb.jpg,GJ 504 b,GJ 504,1,1,0,286.9022046,13,1271.3,3.18,510,0,43.5,G0 V,6234,1.26,1.22,0.332,5.18799,0,gas-giant,massive,is so warm it likely does not have clouds and appears as a uniform blue orb,a uniform blue in color,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",0.095964759,1.615664403,spins around its orbit so both sides get heat from the sun,yellow,medium small,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1271 times the size of earth, is so warm it likely does not have clouds and appears as a uniform blue orb and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 1271 times the size of earth, is so warm it likely does not have clouds and appears as a uniform blue orb and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet spins around its orbit so both sides get heat from the sun. The planet's star is yellow and 0.09596475904605026 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This massive gas-giant planet is so warm it likely does not have clouds and appears as a uniform blue orb. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is spins around its orbit so both sides get heat from the sun and yellow.","A yellow, medium small star with a massive, gas-giant planet. The planet a uniform blue in color, has clear, sharp-edge stripes of thick clouds, and spins around its orbit so both sides get heat from the sun",  
3,"We like to say that Archean Earth is the most alien planet we have geochemical data for. For astronomers trying to understand which distant planets might have habitable conditions, the role of atmospheric haze has been hazy. To help sort it out, a team of researchers has been looking to Earthâspecifically Earth during the Archean era, an epic 1-1/2-billion-year period early in our planet's history. When haze built up in the atmosphere of Archean Earth, the young planet might have looked like this artist's interpretation - a pale orange dot.   A team led by Goddard scientists thinks the haze was self-limiting, cooling the surface by about 36 degrees Fahrenheit (20 Kelvins), not enough to cause runaway glaciation. The team's modeling suggests that atmospheric haze might be helpful for identifying earthlike exoplanets that could be habitable.",https://images-assets.nasa.gov/image/GSFC_20171208_Archive_e000132/GSFC_20171208_Archive_e000132~thumb.jpg,Earth,Sun,1,8,1,364.2000122,1,1,5.51,279,1,0,G2 V,5772,1,1,1,4.81,Impact parameter is distance from the sun in au not impact parameter,terrestrial,medium small,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring",has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath,has clouds of various sizes,100,1.26,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 1 times the size of the sun.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 100.0 the size of it's planet.","A solar system made up of 8 planet(s), 1 star(s), and 1 moon(s). This medium small terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet has clouds of various sizes speckling planet atmosphere showing pieces of the planet terrain beneath. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a medium small, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, has clouds of various sizes, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
4,"TOI 700, a planetary system 100 light-years away in the constellation Dorado, is home to TOI 700 d, the first Earth-size habitable-zone planet discovered by NASA's Transiting Exoplanet Survey Satellite.",https://images-assets.nasa.gov/image/PIA23408/PIA23408~thumb.jpg,TOI-700 d,TOI-700,1,4,0,37.42396164,1.073,1.25,5.56,269,0.29,0,M2.5 V,3459,0.42,0.42,-1.64,13.151,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,33.59999895,0.939903651,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 33.59999895095825 the size of it's planet.","A solar system made up of 4 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
5,"The super-Earth exoplanet 55 Cancri e, depicted with its star in this artist's concept, likely has an atmosphere thicker than Earth's, with ingredients that could be similar to those of Earth's atmosphere, according to a 2017 study using data from NASA's Spitzer Space Telescope. Scientists say the planet may be entirely covered in lava. The planet is so close to its star that one face of the planet consistently faces the star, resulting in a dayside and a nightside.",https://images-assets.nasa.gov/image/PIA22069/PIA22069~thumb.jpg,55 Cnc e,55 Cnc,2,5,0,0.73654741,0.01544,7.99,1958,0.39,0.0182,0,G8 V,5172,0.94,0.91,-0.197,5.95084,0,super-earth,,has a composition of hydrogen and helium producing a distince white color,is white in color,"is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,11.3892372,0.009430095,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow,medium small,"A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and an unknown size compared to the size of the sun.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This super-earth planet is 7 times the size of earth, has a composition of hydrogen and helium producing a distince white color and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow and 11.389237200174454 the size of it's planet.","A solar system made up of 5 planet(s), 2 star(s), and 0 moon(s). This nan super-earth planet has a composition of hydrogen and helium producing a distince white color. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow.","A yellow, medium small star with a nan, super-earth planet. The planet is white in color, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
6,"WASP-18b is an exoplanet located 325 light-years from Earth. The planet's mass is 10 times that of Jupiter, and it orbits its star once every 23 hours.  A 2017 study found that this planet has a stratosphere that's loaded with carbon dioxide, but has no signs of water. A stratosphere is a layer of atmosphere in which temperature increases with higher altitudes. The study used NASA's Spitzer and Hubble space telescopes.",https://images-assets.nasa.gov/image/PIA22087/PIA22087~thumb.jpg,WASP-18 b,WASP-18,2,2,0,0.941452205,13.899,3241.8499,6.6,2429,0.36,0,F6 IV-V,6432,1.32,1.29,0.428,9.28,0,gas-giant,massive,is dominated by silicate and iron clouds most notably variations of red coloring,a shade of red in color,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",0.039792095,1.288110258,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,yellow white,medium,"A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 3241 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 1 times the size of the sun.","A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This gas-giant planet is 3241 times the size of earth, is dominated by silicate and iron clouds most notably variations of red coloring and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is yellow white and 0.03979209464170855 the size of it's planet.","A solar system made up of 2 planet(s), 2 star(s), and 0 moon(s). This massive gas-giant planet is dominated by silicate and iron clouds most notably variations of red coloring. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and yellow white.","A yellow white, medium star with a massive, gas-giant planet. The planet a shade of red in color, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
7,"This illustration shows a red dwarf star orbited by a hypothetical exoplanet. Red dwarfs tend to be magnetically active, displaying gigantic arcing prominences and a wealth of dark sunspots. Red dwarfs also erupt with intense flares that could strip a nearby planet's atmosphere over time, or make the surface inhospitable to life as we know it.  By mining data from the Galaxy Evolution Explorer (GALEX) spacecraft, a team of astronomers identified dozens of flares at a range of durations and strengths. The team measured events with less total energy than many previously detected flares from red dwarfs. This is important because, although individually less energetic and therefore less hostile to life, smaller flares might be much more frequent and add up over time to produce a cumulative effect on an orbiting planet.   ",https://images-assets.nasa.gov/image/PIA21473/PIA21473~thumb.jpg,0,0,1,1,0,0.243554909,3.79429,17.24,1.64,51,0,0.39,sd,3500,0.12,0.12,0.001,0,"1 In 3 red dwarfs have a Neptune like planet orbiting it, and about 40% have a super-earth like planet orbiting it. Planet would be really close  to its star to be able to be habitable, and then it would be unevenly heated, because only one side would be close to the star. The habitable zone would be the distance from mercury to our sun.",gas-giant,large,"has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue",is pale yellow in color with slight traces of blue,"has stripes of thick clouds of various coloring defined by clear, sharp edges","has clear, sharp-edge stripes of thick clouds",0.696055678,0.912814228,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,tiny,"A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This gas-giant planet is 17 times the size of earth, has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue and has stripes of thick clouds of various coloring defined by clear, sharp edges. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 0.6960556781376798 the size of it's planet.","A solar system made up of 1 planet(s), 1 star(s), and 0 moon(s). This large gas-giant planet has frozen ammonia producing a duller yellow color merging with the more dominant methane, characterized by its shade of blue. This planet has stripes of thick clouds of various coloring defined by clear, sharp edges. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, tiny star with a large, gas-giant planet. The planet is pale yellow in color with slight traces of blue, has clear, sharp-edge stripes of thick clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
8,"This still from a video shows illustrations of the seven Earth-size planets of TRAPPIST-1, an exoplanet system about 40 light-years away, based on data current as of February 2018. Each planet is shown in sequence, starting with the innermost TRAPPIST-1b and ending with the outermost TRAPPIST-1h. The video presents the planets' relative sizes as well as the relative scale of the central star as seen from each planet. The art highlights possibilities for how the surfaces of these intriguing worlds might look based on their newly calculated properties.  The seven planets of TRAPPIST-1 are all Earth-sized and terrestrial. TRAPPIST-1 is an ultra-cool dwarf star in the constellation Aquarius, and its planets orbit very close to it.  In the background, slightly distorted versions our familiar constellations, including Orion and Taurus, are shown as they would appear from the location of TRAPPIST-1.",https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,TRAPPIST-1 b,TRAPPIST-1,1,7,0,1.510825992,1.116,1.374,5.441939,398,0.095,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.550218824,0.566830701,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.5502188236680245 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
9,0,https://images-assets.nasa.gov/image/PIA22098/PIA22098~thumb.jpg,TRAPPIST-1 c,TRAPPIST-1,1,7,0,2.421936989,1.097,1.308,5.463993,340,0.109,0,0,2566,0.12,0.09,-3.257,17.02,0,terrestrial,,likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water,"contains liquid water, and has traces of blue and yellow coloring","is hot and rotating quickly with little to no atmosphere, clouds, or storms",is hot and rotating quickly with little to no clouds,6.880734384,0.566398513,only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold,orange red,very small,"A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and an unknown size compared to the size of the sun.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This terrestrial planet is 1 times the size of earth, likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water and is hot and rotating quickly with little to no atmosphere, clouds, or storms. This planet only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold. The planet's star is orange red and 6.880734383924462 the size of it's planet.","A solar system made up of 7 planet(s), 1 star(s), and 0 moon(s). This nan terrestrial planet likely has a small amount of blue methane and yellow ammonia. The most dominant color would come from blue liquid water. This planet is hot and rotating quickly with little to no atmosphere, clouds, or storms. The planet's star is only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold and orange red.","A orange red, very small star with a nan, terrestrial planet. The planet contains liquid water, and has traces of blue and yellow coloring, is hot and rotating quickly with little to no clouds, and only has one side of the planet facing the sun. The side facing the sun is extremely hot and the side that faces away from the sun is dark and cold",  
